brewery_id,brewery_name,country_name,brewery_in_production,is_independent,beer_count,brewery_type,brewery_type_id,brewery_address,brewery_city,brewery_state,brewery_lat,brewery_lng,brewery_rating_count,brewery_rating_score,brewery_age_on_service,CARDINAL,DATE,EVENT,FAC,GPE,LANGUAGE,LAW,LOC,MONEY,NORP,ORDINAL,ORG,PERCENT,PERSON,PRODUCT,QUANTITY,TIME,WORK_OF_ART
13967,Kalnapilis Brewery,Lithuania,0,0,126,Macro Brewery,1,Taikos al. 1,Panevezys,Panevėžio apskritis,55.7377,24.3538,28957,2.955,3740.795451388889,0,2,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0
140,Bloomington Brewing Company,United States,0,1,164,Micro Brewery,2,514 E Kirkwood Ave.,Bloomington,IN,39.1716,-86.5099,36515,3.65,3967.6369791666666,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14089,Hansa Borg Bryggerier,Norway,0,1,69,Macro Brewery,1,Kokstaddalen 3,Bergen,Hordaland,60.2948,5.26154,408187,3.038,3980.2283564814816,0,0,0,0,1,0,0,0,0,0,0,4,0,11,0,0,0,1
141,BluCreek Brewing,United States,0,1,3,Micro Brewery,2,2605 S Stoughton Rd,Madison,WI,43.0598,-89.3085,79,2.819,3909.740324074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Blue Cat Brew Pub,United States,1,1,0,Brew Pub,4,113 Eighteenth St,Rock Island,IL,41.5117,-90.5746,4365,3.461,4010.5422800925926,4,2,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0
143,Blue Corn Cafe and Brewery,United States,0,1,254,Micro Brewery,2,4056 Cerrillos Rd.,Santa Fe,NM,35.6391,-106.016,14540,3.614,3933.2095833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1432,Brasserie Castelain,France,0,1,80,Micro Brewery,2,13 Rue Pasteur,Bénifontaine,Hauts-de-France,50.4919,3.0007,80673,3.288,4021.8616087962964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Blue Point Brewing Company,United States,0,0,301,Macro Brewery,1,161 River Avenue,Patchogue,NY,40.7591,-73.0215,663162,3.517,4031.8568171296297,1,2,1,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0
146730,Brasserie BB Lomè (BGI),Togo,0,1,15,Macro Brewery,1,"169, Agoenyivé Route d'Atakpamé, PK 10",Lomé,Lomé,6.24516,1.18285,605,2.862,2633.6506481481483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Bobcat Cafe & Brewery (Vermont),United States,0,1,61,Brew Pub,4,5 Main St,Bristol,VT,44.1329,-73.0781,3182,3.454,3867.7575462962964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
